MunID,Muni,SiteName,Prov
4279,Alcantara,"Alcantara, CEBU",CEBU
4045,Alegria,"Alegria, CEBU",CEBU
4283,Aloguinsan,"Aloguinsan, CEBU",Cebu
4354,Amlan,"Amlan, NEGROS ORIENTAL",NEGROS ORIENTAL
4285,Asturias,"Asturias, CEBU",CEBU
4206,Ayungon,"Ayungon, NEGROS ORIENTAL",NEGROS ORIENTAL
6907,Badian,"BADIAN ISLAND,","AND,"
4277,Badian,"Badian, CEBU",CEBU
4239,Bantayan,"Bagayag Island, Bantayan, CEBU",CEBU
4197,Escalante,"Bagunbanua Island, Escalante, NEGROS OCCIDENTAL",NEGROS OCCIDENTAL
4208,Bais,"Bais, NEGROS ORIENTAL",NEGROS ORIENTAL
4356,Balamban,"Balamban, CEBU",CEBU
4111,Bantayan,"Bantayan Island, CEBU",CEBU
4245,Bantayan,"Bantayan, CEBU",CEBU
4282,Barili,"Barili, CEBU",CEBU
4196,Bantayan,"Batiquis Island, Bantayan, CEBU",CEBU
4207,Bindoy,"Bindoy, NEGROS ORIENTAL",NEGROS ORIENTAL
4243,Bantayan,"Botong Island, Bantayan, CEBU",CEBU
4199,Calatrava,"Calatrava, NEGROS OCCIDENTAL",NEGROS OCCIDENTAL
7700,Balamban,"CEBU ISLAND,",CEBU
4377,Daanbantayan,"Daanbantayan, CEBU",CEBU
6909,Bais,"DIUTAY ISLAND,",NEGROS ORIENTAL
4195,Bantayan,"Doong Island, Bantayan, CEBU",CEBU
4281,Dumanjug,"Dumanjug, CEBU",CEBU
4276,Ginatilan,"Ginatilan, CEBU",CEBU
4202,Guihulngan,"Guihulngan, NEGROS ORIENTAL",NEGROS ORIENTAL
4248,Santa Fe,"Guintacan Island, Daanbantayan, CEBU",CEBU
4160,Bantayan,"Island, Bantayan, CEBU",CEBU
4161,Bantayan,"Island, Bantayan, CEBU",CEBU
4162,Bantayan,"Island, Bantayan, CEBU",CEBU
4163,Bantayan,"Island, Bantayan, CEBU",CEBU
4164,Bantayan,"Island, Bantayan, CEBU",CEBU
4165,Bantayan,"Island, Bantayan, CEBU",CEBU
4166,Bantayan,"Island, Bantayan, CEBU",CEBU
4167,Bantayan,"Island, Bantayan, CEBU",CEBU
4168,Bantayan,"Island, Bantayan, CEBU",CEBU
4169,Bantayan,"Island, Bantayan, CEBU",CEBU
4171,Bantayan,"Island, Bantayan, CEBU",CEBU
4172,Bantayan,"Island, Bantayan, CEBU",CEBU
4173,Bantayan,"Island, Bantayan, CEBU",CEBU
4113,Bantayan,"Island, CEBU",CEBU
4083,Daanbantayan,"Chocolate Island, Daanbantayan, CEBU",CEBU
4084,Daanbantayan,"Island, CEBU",CEBU
